Register Long Name,Register Short Name,Register Page,Register Address,Bit Field Number,Bit Field Name,Bit Field Reset Value,Bit Field Access,Bit Field Description,Bit Field Enumerations
,BMCR,,0x0000,15,Reset,0x0000,RW/SC,"PHY Software Reset:
1 = Initiate software Reset / Reset in Progress
0 = Normal Operation
Writing a 1 to this bit resets the PHY PCS registers. When the reset operation is done, this bit is cleared to 0 automatically. PHY Vendor Specific registers will not be cleared.","0x0001: Initiate software Reset / Reset in Progress
0x0000: Normal Operation"
,BMCR,,0x0000,14,MII Loopback,0x0000,RW,"MII Loopback:
1 = MII Loopback enabled
0 = Normal Operation
When MII loopback mode is activated, the transmitted data presented on MII TXD is looped back to MII RXD internally.","0x0001: MII Loopback enabled
0x0000: Normal Operation"
,BMCR,,0x0000,13,Speed Selection,0x0001,RW/Strap,"Speed Select:
1 = 100 Mbps
0 = 10 Mbps
When Auto-Negotiation is disabled (bit[12] = 0 in Register 0x0000), writing to this bit allows the port speed to be selected.","0x0001: 100 Mbps
0x0000: 10 Mbps"
,BMCR,,0x0000,12,Auto-Negotiation Enable,0x0001,RW/Strap,"Auto-Negotiation Enable:
1 = Enable Auto-Negotiation
0 = Disable Auto-Negotiation
If  Auto-Negotiation  is  disabled,  bit[8]  and  bit[13]  of  this  register determine the port speed and duplex mode.","0x0001: Enable Auto-Negotiation
0x0000: Disable Auto-Negotiation"
,BMCR,,0x0000,11,IEEE Power Down,0x0000,RW,"Power Down:
1 = IEEE Power Down
0 = Normal Operation
The PHY is powered down after this bit is set. Only register access is enabled during this power down condition. To control the power down mechanism, this bit is OR'ed with the input from the INT/PWDN_N pin. When the active low INT/PWDN_N is asserted, this bit is set.","0x0001: IEEE Power Down
0x0000: Normal Operation"
,BMCR,,0x0000,10,Isolate,0x0000,RW,"Isolate:
1 = Isolates the port from the MII with the exception of the SMI
0 = Normal Operation","0x0001: Isolates the port from the MII with the exception of the SMI
0x0000: Normal Operation"
,BMCR,,0x0000,9,Restart Auto-Negotiation,0x0000,RW/SC,"Restart Auto-Negotiation:
1 = Restarts Auto-Negotiation
0 = Normal Operation
If Auto-Negotiation is disabled (bit[12] = 0), bit[9] is ignored. This bit is self-clearing and will return a value of 1 until Auto-Negotiation is initiated,   whereupon   it   will   self-clear.   Operation   of   the   Auto- Negotiation  process  is  not  affected  by  the  management  entity clearing this bit.","0x0001: Restarts Auto-Negotiation
0x0000: Normal Operation"
,BMCR,,0x0000,8,Duplex Mode,0x0001,RW/Strap,"Duplex Mode:
1 = Full-Duplex
0 = Half-Duplex
When Auto-Negotiation is disabled, writing to this bit allows the port
Duplex capability to be selected.","0x0001: Full-Duplex
0x0000: Half-Duplex"
,BMCR,,0x0000,7,Collision Test,0x0000,RW,"Collision Test:
1 = Enable COL Signal Test
0 = Normal Operation
When set, this bit causes the COL signal to be asserted in response to the assertion of TX_EN within 512 bit times. The COL signal is de- asserted within 4 bit times in response to the de-assertion to TX_EN.","0x0001: Enable COL Signal Test
0x0000: Normal Operation"
,BMCR,,0x0000,6..0,Reserved,0x0000,RO,Reserved,
